Fecha,Pozo,WHP_psi,BHP_psi,Qo_bpd,Qw_bpd,Qg_mscfd
2023-01-01,Pozo-01,451.06157506926723,1746.9325138898953,1537.2535614758424,180.36464434930278,749.3270570821702
2023-01-02,Pozo-01,422.6381435553737,1709.6933612889686,1487.590985153944,130.44144137314245,735.2258119325646
2023-01-03,Pozo-01,,1749.6980369564726,1544.3397712110786,154.620980214993,815.9837730659725
2023-01-04,Pozo-01,453.4336072552403,1723.4974431891876,1607.6070411224403,142.72928187718026,723.8151462969971
2023-01-05,Pozo-01,461.78317250121097,1767.9382454061247,1474.3377602950334,159.92824582182607,774.8224458935075
2023-01-06,Pozo-01,409.02857134621627,1722.6531852647913,1472.320725139756,154.70537966281117,746.1139421060766
2023-01-07,Pozo-01,475.5799882121773,1785.4054464959995,1605.1932240221481,145.67139246206617,763.8465526033051
2023-01-08,Pozo-01,445.26001145215247,1765.7712010266587,1542.6935009523531,163.48462701548513,738.169201671165
2023-01-09,Pozo-01,461.5758754334686,1776.8989455507674,1448.8245726481882,184.10193029683214,772.9882745488005
2023-01-10,Pozo-01,432.39271206482465,1723.7428622250952,1521.8137820695356,155.04064264843788,732.1291830159995
2023-01-11,Pozo-01,454.1063633802836,1776.4643904040686,1445.308694586201,169.565390190779,689.315396875705
2023-01-12,Pozo-01,431.42311735858044,1702.2889476441367,1443.159363922302,140.2320845672041,754.4062045919243
2023-01-13,Pozo-01,436.7663155016144,1718.409392018924,1493.3953236737432,146.14413317428125,756.8095274821052
2023-01-14,Pozo-01,470.22359007267914,1756.2380378848218,1332.5608861340104,168.43362056212152,641.2835843190634
2023-01-15,Pozo-01,441.74168936750686,1772.2571274750192,1344.5955401093645,184.4634677164055,678.1232295707892
2023-01-16,Pozo-01,446.77305386639716,1770.9163807555192,1428.178720074306,168.38748738218635,684.7901969404699
2023-01-17,Pozo-01,455.0479958347235,1767.8526052385703,1393.1654431282032,159.20634115219138,727.2552481908704
2023-01-18,Pozo-01,449.656268915686,1775.5111657535642,1488.498125630777,164.73787736817954,775.8460366516404
2023-01-19,Pozo-01,444.6607547926302,1726.9192576397386,1397.0228525210046,146.8360607803321,713.375922609244
2023-01-20,Pozo-01,447.10135334126045,1761.0063080422724,1358.261142264676,175.50095861319096,688.9551744555786
2023-01-21,Pozo-01,473.7142946533921,1779.262500767605,1566.4148921601782,180.5066635938933,838.3824722138473
2023-01-22,Pozo-01,440.68901309954794,1761.210957064611,1441.0110243701613,161.3261441987992,720.4964720712485
2023-01-23,Pozo-01,443.7099594339152,1745.1285035753142,1460.3831674783114,161.89009666572534,695.671802162302
2023-01-24,Pozo-01,454.5355381287934,1753.373118259974,1349.934580446828,173.75953573343116,687.1024977822354
2023-01-25,Pozo-01,454.8453330895729,1769.9131046612792,1411.9785624154301,164.04860891708609,764.8983554904423
2023-01-26,Pozo-01,455.5056112601868,1778.7966658083963,1457.5389155691705,170.43287320634528,699.1884287593526
2023-01-27,Pozo-01,447.861449439569,1747.3648776911064,1364.2114904140985,203.74356705643885,672.2435120134331
2023-01-28,Pozo-01,423.98505163073776,1728.280716171489,1472.6882177749305,169.3626583420231,748.6100123604864
2023-01-29,Pozo-01,460.13362861136727,1744.2814524727394,1400.202422314805,168.51067655385515,698.5916571543555
2023-01-30,Pozo-01,423.16743867144214,1677.6827956693548,1420.5540777471617,164.9878235726704,682.3687317397682
2023-01-31,Pozo-01,441.8137528006271,1755.2117230131405,1396.2946321784511,186.6764443799284,729.476198143662
2023-02-01,Pozo-01,427.54042983300974,1746.2196486696191,1570.7799225577041,173.60526416152575,858.2754289920717
2023-02-02,Pozo-01,436.1986830057365,1746.4914576870806,1434.698040903216,167.3905464042128,722.9768088520299
2023-02-03,Pozo-01,440.94720340405286,1713.6390215949177,1357.8795039010172,197.75567640378878,654.3874359353214
2023-02-04,Pozo-01,440.4477819838951,1745.5694765605742,1490.622446146313,200.0325990938725,699.1329165363708
2023-02-05,Pozo-01,441.360630276414,1702.7844938425699,1342.5021905002857,170.53210824662534,678.1777616478607
2023-02-06,Pozo-01,456.5265587795048,1785.2262998685508,1442.7327613327327,152.3377451930208,753.2183808202725
2023-02-07,Pozo-01,440.9678307249167,1730.6242816784224,1286.1557151111144,196.24341297990813,655.3006518113873
2023-02-08,Pozo-01,431.4677334250872,1762.6272987610125,1329.3540551937565,171.65360925700153,664.6131164834079
2023-02-09,Pozo-01,446.8144440276549,1776.769038271541,1435.96254151633,194.57228087786274,701.057830383227
2023-02-10,Pozo-01,449.34011306791956,1733.052063724303,1472.4513231055519,153.9486764915289,704.0625058319057
